
                               单位时间1ms
                PWM                             PULSE        
                200                              75
                300                              127
                400                              181
                500                              237
                600                              295
                650                              323
                700                              351
                750                              380
                800                              408
                850                              436
                900                              464
                1000                             520
                1100                             575
                1200                             630
                1300                             687
                1400                             741
                1500                             797
                2000                             1063
                2500                             1330
                3000                             1596
                
                
                
